RAD16	SGS1
RAD16	RAD7
COG7	COG5
COG7	COG6
YPK1	YPK2
GRX3	AFT1
GAL4	SPT15
GAL4	RPT6
GAL4	GAL80
GAL4	RPO21
GAL4	SSN3
GAL4	RPT4
GAL4	SUA7
HOS2	HTZ1
HOS2	CPR1
HOS2	SWR1
HOS2	VPS71
HOS2	VPS72
HOS2	ARP6
HOS2	SWC5
RFA1	RFA2
RFA1	MEC1
RFA1	RAD52
HHF1	HHF2
HHF1	HIF1
HHF1	KAP123
HHF1	STH1
HHF1	BDF1
HHF1	PSE1
CDC53	CDC34
CDC53	DCN1
CDC53	SKP1
CDC53	RUB1
UBP10	SIR4
DIS3	RRP4
TIF11	FUN12
SEC1	SNC2
SEC1	SSO2
SEC1	SEC8
SEC1	SEC9
SEC1	SEC15
SEC1	SSO1
YAF9	EAF6
YAF9	ARP4
YAF9	SWC3
YAF9	EAF3
YAF9	EAF5
YAF9	BDF1
YAF9	VPS72
YAF9	EAF1
YAF9	TAF14
INO80	IES3
INO80	TAF14
PPH21	PPH22
PPH21	TAP42
TPS1	TPS2
SPT4	SPT5
GYP5	GYL1
MOT2	CDC39
MOT2	TAF1
MOT2	CCR4
MOT2	YKE2
TFA1	TFA2
STD1	SPT15
HRP1	NPL3
CTF18	MRE11
CTF18	CCS1
CTF18	RFC3
CTF18	HTZ1
CTF18	CLA4
CTF18	POL32
CTF18	RAD24
CTF18	CSM3
CTF18	GIM5
CTF18	CHL1
CTF18	BUB1
CTF18	MAD1
CTF18	PAC10
CTF18	MAD2
CTF18	VIK1
CTF18	TOF1
CTF18	MRC1
CTF18	CIN1
CTF18	GIM4
CTF18	RFC2
CTF18	RAD9
CTF18	DDC1
CTF18	SLK19
CTF18	UBC4
CTF18	RFC5
CTF18	GIM3
CTF18	RFC4
CTF18	MAD3
CTF18	SRS2
CTF18	CTF8
TAH11	ORC6
MDM10	SAM37
TFB3	KIN28
PAM16	TIM23
PAM16	PAM18
PAM16	TIM44
DBP5	SAC3
DBP5	GFD1
DBP5	NUP159
DBP5	GLE1
DBP5	ZDS1
DBP5	NUP42
VMA4	VMA10
RPT3	RPT5
RPT3	RPT6
RPT3	RPT4
RPT3	NAS6
RPT3	RPT2
WHI5	SWI4
WHI5	SWI6
CFT1	GLC7
CFT1	CFT2
YME1	YME2
LRG1	RHO1
TFS1	IRA2
CCL1	TFB3
CCL1	KIN28
MFT1	TEX1
MFT1	RRP6
MFT1	THO2
MFT1	YRA1
MFT1	SUB2
BDP1	TFC4
MSH6	MSH3
MSH6	POL30
MSH6	MSH2
COF1	AIP1
COF1	ACT1
GIS1	MSN2
GIS1	MSN4
ARC18	ARP2
ARC18	ARP3
ARC18	ARC19
SSF1	SSF2
ABF2	ILV5
SPT3	LGE1
SPT3	HFI1
SPT3	SPT20
SPT3	TAF1
NUP60	SRP1
NUP60	KAP95
NUP60	MEX67
OST3	OST6
OST3	OST1
OST3	OST2
OST3	WBP1
OST3	STT3
OST3	OST4
OST3	OST5
MRS6	BET2
ARP9	STH1
CBF5	NOP10
ARP2	PRK1
ARP2	ABP1
ARP2	ARC15
ARP2	ARP3
ARP2	CRN1
ARP2	LAS17
ARP2	PAN1
ARP2	ARC40
CDC34	GRR1
CDC34	SKP1
CDC34	CDC4
CDC34	UBC7
IDH1	IDH2
IDH1	CIT1
VMA7	VPH1
VMA7	VMA8
RPN1	RPT5
RPN1	RPT6
RPN1	RPN10
RPN1	RPT2
RPN1	RAD23
RPN1	RPT1
TUB4	SPC97
TUB4	SPC98
TUB4	YKE2
SRP1	NUP2
SRP1	NUP1
RSC3	RSC2
RSC3	STH1
RSC3	RSC30
EAF3	HTZ1
EAF3	SWC3
EAF3	EAF1
SWD1	HTZ1
SWD1	YAF9
SWD1	SWD3
SWD1	RPN10
SWD1	SET1
BMH1	REG1
TEM1	BFA1
TEM1	CDC5
TEM1	BUB2
TEM1	LTE1
TEM1	CDC15
CHS5	SPA2
CHS5	BUD7
CHS5	BCH1
ADE16	ADE17
IMP4	MPP10
RLI1	HCR1
PAF1	SPT5
PAF1	RTF1
CDC6	CLB2
CDC6	CDC4
CDC6	ORC5
GAP1	SHR3
IMP3	MPP10
BET1	SEC24
BET1	SEC22
BET1	SEC23
LGE1	YAF9
LGE1	SIN3
LGE1	RPN10
LGE1	GET1
LGE1	RPD3
VPS4	VTA1
VPS4	DID2
VPS4	BRO1
VPS4	IST1
IQG1	BSP1
CDC43	RAM2
RPB8	RPO21
CFD1	NBP35
DBF4	CDC5
DBF4	RAD53
RTG1	RTG3
SAC6	SCP1
DAD1	DAD2
DAD1	DUO1
DAD1	SPC19
DAD1	DAD3
RRP6	RRP4
RRP6	NPL3
RRP6	SUB2
SED5	GOS1
SED5	VTI1
SED5	ANP1
SED5	BET1
SED5	SEC22
SED5	SLY1
SED5	YKT6
SED5	SFT1
CDC45	MCM2
CDC45	MCM4
CDC45	SLD3
CDC45	MCM10
CDC45	TOF1
HSP82	VMA4
HSP82	CPR6
HSP82	HCH1
HSP82	YPT7
HSP82	YPT6
HSP82	HXT10
HSP82	MCK1
HSP82	YDJ1
HSP82	SSE1
HSP82	AHA1
HSP82	SKP1
HSP82	PAT1
HSP82	YDL199C
HSP82	MED7
HSP82	CPR7
HSP82	ADE1
HSP82	CNS1
RPO31	MAF1
INP51	INP52
LSM2	PRP24
LSM2	LSM3
LSM2	LSM4
LSM2	PAT1
NUF2	TID3
DPB3	DPB2
DPB3	DPB4
DPB3	POL2
PSF1	PSF3
PSF1	SLD5
CIN2	MAD1
CIN2	MAD2
CIN2	MAD3
DIA2	CDC53
DIA2	YRA1
DIA2	SKP1
RAD24	RFC3
RAD24	DUN1
RAD24	RAD51
RAD24	RFC2
RAD24	DDC1
RAD24	RFC5
RAD24	RFC4
NUP53	ASM4
NUP53	PSE1
PSF2	SLD5
YAP1	CAD1
YAP1	ARR1
POL12	STN1
TAF13	TAF11
TAF13	TAF1
TAF13	NOT5
FIP1	PAP1
FIP1	CFT2
LSM6	PRP24
LSM6	LSM1
LSM6	PAT1
SSK1	STE11
SSK1	SSK2
DDI1	UFO1
SSL1	TFB1
SSA4	MSN5
IDH2	CIT1
PFS2	YSH1
PFS2	SSU72
MYO5	VRP1
MYO5	ARP2
MYO5	SHE4
MYO5	ACT1
RSC6	STH1
VPS24	SNF7
APS1	APL4
HOG1	FPS1
HOG1	SMP1
JEM1	SCJ1
GAC1	GLC7
SEC11	SPC1
CEF1	ISY1
DST1	HTZ1
DST1	SWC3
DST1	VPS71
DST1	SPT8
DST1	UBP3
DST1	SSN2
DST1	VPS72
DST1	SWC5
DST1	RPB2
RLP24	MAK11
HAT1	HIF1
NPL6	RSC3
NPL6	RSC8
NPL6	RSC2
NPL6	RSC30
SWE1	HSL7
SWE1	CLB2
SWE1	CDC5
RPA34	RPA49
RPA34	TOP1
SWP1	OST1
PRE3	PUP1
FAA1	FAA4
FAA1	FAT1
HSC82	EPS1
HSC82	HSP82
HSC82	CDC37
HSC82	SBA1
HXK2	MED8
OST1	OST6
OST1	WBP1
OST1	STT3
OST1	OST5
ERB1	YTM1
ERB1	NOP7
FRQ1	PIK1
VPS17	VPS5
CYR1	SRV2
CYR1	RAS2
DAS1	CDC53
DAS1	SKP1
NOC2	MAK21
NOC2	NOC3
CSM3	POL32
CSM3	RAD24
CSM3	MEC3
CSM3	RAD17
CSM3	ELG1
CSM3	MRC1
CSM3	SLX8
CSM3	RAD9
CSM3	DDC1
CSM3	SRS2
NOP58	NOP1
NOP58	NOP56
PRK1	ABP1
PRK1	SLA1
POL31	MGS1
POL31	POL32
RSA3	URB2
RRN11	RRN6
PET9	SAL1
SUS1	SGF11
SUS1	CDC31
SUS1	SGF73
RNR4	RNR2
CBF2	MCK1
CBF2	SMT3
CBF2	CTF13
COA1	COA2
COA1	MSS51
ELP2	IKI1
ELP2	ELP3
ELP2	RPB4
ELP2	ELP4
ELP2	ELP6
ELP2	IKI3
SFH1	STH1
YPT7	VAM6
YPT7	CCZ1
MMS22	RTT101
MMS22	RTT107
PTP2	HOG1
SWR1	ARP4
SWR1	SWC3
SWR1	YAF9
SWR1	VPS72
SWR1	SWC5
MPS1	SPC42
UFE1	SEC22
UFE1	TIP20
UFE1	SLY1
UFE1	SEC20
EFT1	EFT2
VPS71	SWR1
DIG2	KSS1
NMD2	NAM7
NMD2	SUP35
NMD2	UPF3
MED4	PGD1
MED4	MED8
RAD10	RAD1
RAD10	MSH2
YPT6	HTZ1
YPT6	GDI1
YPT6	LGE1
YPT6	SYS1
YPT6	BRE1
YPT6	SSD1
YPT6	SLY1
YPT6	GET1
YPT6	VPS52
YPT6	VPS53
YPT6	IMH1
YPT6	RIC1
CTK2	CTK3
GIM5	CTF19
GIM5	RPN4
GIM5	GIM4
GIM5	CHL4
GIM5	MCM16
GIM5	GIM3
GIM5	YKE2
POS5	UTR1
BTN2	IST2
SEC12	SAR1
GET3	GET2
GET3	GET1
AME1	CTF19
AME1	OKP1
AME1	MCM21
BUD3	CLB2
HTB1	HHF1
HTB1	STH1
HTB1	KAP114
YPT31	YPT32
SRV2	ACT1
PHO80	PHO4
ZIM17	SSC1
SPO7	NEM1
SER3	SER33
UBR1	RAD6
DCC1	POL32
DCC1	CSM3
DCC1	GIM5
DCC1	CHL1
DCC1	MAD1
DCC1	MAD2
DCC1	RPN10
DCC1	TOF1
DCC1	CIN1
DCC1	RAD9
DCC1	SLK19
DCC1	SGF73
DCC1	TSA1
DCC1	GIM3
DCC1	SRS2
EAF5	HTZ1
EAF5	SWR1
EAF5	VPS71
EAF5	VPS72
EAF5	EAF1
EAF5	ARP6
EAF5	SWC5
EAF5	ACT1
BRE5	UBP3
DYN1	KAR9
DYN1	KAR3
KRE6	SKN1
BDF2	BDF1
TAF10	TAF3
TAF10	GCN5
TAF10	TAF7
TAF10	TAF6
TAF10	NGG1
TAF10	TAF4
TAF10	ADA2
TAF10	TAF12
TAF10	TAF9
TAF10	SPT7
TAF10	TAF5
NPL3	LEA1
NPL3	HMT1
NPL3	STO1
RED1	GLC7
GET2	SLX8
HTA1	HHF1
HTA1	HTB1
HTA1	NAP1
HTA1	KAP114
HTA1	KAP95
HTA1	PSE1
PRE8	PRE9
TRK2	SKY1
TRK2	TRK1
TRK2	TOK1
MMS21	SMC5
MIF2	CSE4
TFG1	TFG2
TFG1	TAF14
TPK2	BCY1
TPK2	TPK3
NNF1	NSL1
CDC37	HSP82
CDC37	MPS1
CDC37	KIN28
CDC37	STI1
SUI2	GCD2
SUI2	GCN3
CHL1	ECO1
CHL1	RAD27
CHL1	ELG1
CHL1	CHL4
CHL1	MCM16
CHL1	MCM21
CHL1	SRS2
CHL1	CTF3
ELP3	IKI1
ELP3	ELP6
ELP3	SWI6
THO2	YRA1
THO2	THP2
MEC3	RAD17
MEC3	SET1
MEC3	REV7
PEX10	PEX12
CSE4	CTF19
SDA1	NAP1
RPA49	RPA135
RPA49	RPA43
SNF8	VPS36
ATG8	BET1
ATG8	ATG3
SIR4	SIR3
SIR4	SAN1
RPB4	PAT1
ECM2	PRP19
SEC22	SEC21
SEC22	SEC23
MLC1	IQG1
PCF11	RNA15
PCF11	RNA14
BRF1	TFC4
SSA1	SSA3
SSA1	SSA2
SSA1	YDJ1
BUB1	CTF19
TOP1	RPA49
TOP1	TOP2
TOP1	TOF2
SPT15	TAF11
SPT15	GCN5
SPT15	TAF7
SPT15	TAF6
SPT15	SPT3
SPT15	TAF13
SPT15	TAF10
SPT15	BRF1
SPT15	TAF8
SPT15	NGG1
SPT15	TAF4
SPT15	SPT8
SPT15	SPT16
SPT15	BUR6
SPT15	KAP114
SPT15	TAF12
SPT15	SPT20
SPT15	TAF9
SPT15	TAF1
SPT15	CCR4
SPT15	TAF5
SPT15	RVB2
SPT15	RRN9
RTG2	MKS1
GFD1	NAB2
SPC42	SPC29
PEA2	SPA2
HAP5	HAP3
HSK3	SPC34
HSK3	DAM1
MMS2	POL32
MMS2	UBC13
MMS2	REV3
REC102	SPO11
POP2	MOT2
POP2	CAF40
POP2	NOT3
POP2	MPT5
POP2	CDC36
RPT6	RPT5
RPT6	RPT4
RPT6	RPT1
CAF40	NOT3
CAF40	CDC36
CAF40	NOT5
TAF8	TAF10
TAF8	TAF5
MAD1	BUB1
MAD1	MAD2
MAD1	CHL4
MAD1	MCM22
MAD1	CTF3
RPN4	UBR2
RPN4	RPN10
RPN4	PFD1
NPL4	UFD1
NPL4	SPT23
CLB5	CLB6
CLB5	CDC28
CLB5	CDH1
CLB5	SIC1
LSM5	PRP24
LSM5	LSM7
LSM5	LSM3
LSM5	LSM4
LSM5	LSM1
LSM5	PAT1
TIM17	TIM23
TIM17	PAM18
TIM17	TIM44
MOT1	SPT15
SEC66	SEC72
SEC66	SEC63
YPK2	MYO5
ERP1	ERV25
ERP1	ERP2
ERP1	EMP24
PCL1	HMS1
PCL1	PHO85
PCL1	NCP1
PCL1	NPA3
VAN1	MNN9
NRG2	SNF1
SSO2	SNC2
SSO2	SEC9
SSQ1	JAC1
EDC3	SCD6
RTT106	HHT1
RTT106	HHF2
RTT106	HHT2
RTT106	HHF1
SIN3	VPS71
SIN3	SDS3
ARC1	GUS1
CIN8	IPL1
CIN8	BUB2
CIN8	MCM21
CIN8	CTF4
CIN8	LTE1
CLN2	FAR1
CLN2	CDC53
CLN2	BEM3
CLN2	CDC48
SRM1	GTR1
SEN1	RAD2
SEN1	RPO21
SEN1	RNT1
BFA1	CDC5
BFA1	KAR9
SPC97	SPC98
CDC24	FAR1
CDC24	STE4
CDC24	RSR1
SLT2	PPZ1
SLT2	MKK2
SLT2	SWI4
SLT2	TOR1
SLT2	PRS3
SLT2	SMI1
SLT2	BCK1
ATG23	ATG27
NHP2	CBF5
NHP2	NAF1
TFC3	TFC4
TFC3	TFC6
TFC3	TFC7
LRS4	CSM1
MCK1	RIM11
MCK1	CDC19
SCP1	ACT1
CKB2	CKB1
DID4	VPS4
CWC2	PRP19
KIP3	KAR3
RHO3	EXO70
ATG9	ATG23
ATG9	ATG27
ORC2	THG1
ORC2	HAT1
ORC2	ORC5
ORC2	ORC3
RRM3	RTT101
RRM3	MMS1
RRM3	XRS2
RRM3	RAD52
RRM3	POL30
PAP2	TRF5
PAP2	AIR2
PAP2	RRP6
PAP2	POL2
PAP2	AIR1
SUI1	TIF34
SUI1	NIP1
UMP1	PUP1
SNF1	GAL83
SNF1	MIG3
SNF1	SIP1
SNF1	SNF4
SNF1	GIS4
SNF1	REG1
SNF1	SIP2
SNF1	ROX3
SNF1	SAK1
TOM22	TOM40
MEH1	SLM4
MEH1	GTR2
NAP1	NBP2
NAP1	NIS1
NAP1	GIN4
NAP1	KAP114
NAP1	ATS1
SLA2	ACT1
SKI8	SKI2
SKI8	SKI3
FTH1	FET5
VPS8	PEP5
VAM7	VAM6
VAM7	VPS33
VAM7	PEP5
VAM7	PEP3
VAM7	VAM3
HBS1	DOM34
SWD3	HTZ1
SWD3	YAF9
SWD3	RPN10
SWD3	BRE2
SWD3	SET1
NMD3	ARX1
NMD3	MEX67
PPH22	TAP42
CKA1	CKB2
CKA1	CKA2
CKA1	CKB1
NSG1	HMG2
TEF4	EFB1
SEH1	NUP145
SEH1	NUP84
MMS1	RAD51
SPA2	SLT2
SPA2	BNI1
SBA1	HSP82
RSC4	HHT1
RSC4	HHT2
RSC4	RSC2
RSC4	STH1
RSC4	RPB5
PTA1	SUB1
PTA1	GLC7
PTA1	SYC1
PTA1	PTI1
PTA1	SSU72
EFB1	YEF3
YPT11	MYO2
GEA2	DRS2
COA2	COX5A
DAD2	SPC34
DAD2	ASK1
DAD2	DUO1
SUP35	SSA1
SUP35	HSP104
SUP35	SLA1
SUP35	SUP45
ATG7	ATG3
RAD7	ELC1
NUP133	RAD52
NUP133	RAD51
NUP133	RAD55
NUP133	NUP84
NUP133	CTF4
NUP133	SRS2
RPN5	RPN9
RPN5	RPN11
RPN5	RPN8
NOP14	EMG1
VPS45	TLG2
VPS45	PEP7
ARG82	MCM1
PHO4	PHO2
RHO1	PKC1
RHO1	BEM4
CKS1	CLN2
CKS1	CLB2
EXO84	EXO70
EXO84	SEC5
EXO84	SEC8
EXO84	SEC10
EXO84	SRO7
TFP1	VPH1
TFP1	VMA4
DAD4	SPC34
NUP159	RRP6
COP1	SEC28
PEP12	PEP7
PEP12	YKT6
CDC26	CDC23
PAN2	PAN3
